ticker,status,n_rows,first_date,last_date,market_cap_missing_rate,float_market_cap_missing_rate,source,error_message
603658,success_with_fallback_fill,2039,2016-09-04,2025-12-31,0.0,0.04757233938205002,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603659,success_with_fallback_fill,1957,2017-11-05,2025-12-31,0.0,0.007664793050587634,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603799,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603806,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603833,success_with_fallback_fill,1998,2017-03-28,2025-12-31,0.0,0.028028028028028028,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603858,success_with_fallback_fill,2024,2016-11-18,2025-12-31,0.0,0.040513833992094864,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603882,success_with_fallback_fill,1971,2017-09-10,2025-12-31,0.0,0.014713343480466767,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603885,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603893,success,1435,2020-02-07,2025-12-31,0.0,0.0,akshare_stock_value_em,
603899,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603939,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603986,success_with_fallback_fill,2042,2016-08-20,2025-12-31,0.0,0.04897159647404505,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603993,success_with_fallback_fill,2046,2016-01-07,2025-12-31,0.0,0.05083088954056696,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
605117,success,1142,2021-04-20,2025-12-31,0.0,0.0,akshare_stock_value_em,
605499,success,1118,2021-05-27,2025-12-31,0.0,0.0,akshare_stock_value_em,
688005,success,1566,2019-07-22,2025-12-31,0.0,0.0,akshare_stock_value_em,
688008,success,1566,2019-07-22,2025-12-31,0.0,0.0,akshare_stock_value_em,
688009,success,1566,2019-07-22,2025-12-31,0.0,0.0,akshare_stock_value_em,
688012,success,1566,2019-07-22,2025-12-31,0.0,0.0,akshare_stock_value_em,
688036,success,1517,2019-09-30,2025-12-31,0.0,0.0,akshare_stock_value_em,
688041,success,822,2022-08-12,2025-12-31,0.0,0.0,akshare_stock_value_em,
688047,success,857,2022-06-24,2025-12-31,0.0,0.0,akshare_stock_value_em,
688065,success,1308,2020-08-12,2025-12-31,0.0,0.0,akshare_stock_value_em,
688082,success,1001,2021-11-18,2025-12-31,0.0,0.0,akshare_stock_value_em,
688111,success,1487,2019-11-18,2025-12-31,0.0,0.0,akshare_stock_value_em,
688126,success,1385,2020-04-20,2025-12-31,0.0,0.0,akshare_stock_value_em,
688169,success,1425,2020-02-21,2025-12-31,0.0,0.0,akshare_stock_value_em,
688187,success,1046,2021-09-07,2025-12-31,0.0,0.0,akshare_stock_value_em,
688223,success,953,2022-01-26,2025-12-31,0.0,0.0,akshare_stock_value_em,
688256,success,1325,2020-07-20,2025-12-31,0.0,0.0,akshare_stock_value_em,
688271,success,816,2022-08-22,2025-12-31,0.0,0.0,akshare_stock_value_em,
688303,success,1079,2021-07-22,2025-12-31,0.0,0.0,akshare_stock_value_em,
688363,success,1495,2019-11-06,2025-12-31,0.0,0.0,akshare_stock_value_em,
688396,success,1421,2020-02-27,2025-12-31,0.0,0.0,akshare_stock_value_em,
688472,success,623,2023-06-09,2025-12-31,0.0,0.0,akshare_stock_value_em,
688506,success,724,2023-01-06,2025-12-31,0.0,0.0,akshare_stock_value_em,
688561,success,1323,2020-07-22,2025-12-31,0.0,0.0,akshare_stock_value_em,
688599,success,1351,2020-06-10,2025-12-31,0.0,0.0,akshare_stock_value_em,
688981,success,1327,2020-07-16,2025-12-31,0.0,0.0,akshare_stock_value_em,
