strategy_name,cost_bps,nav,drawdown
ICIR + weekly ewma_hl12 eta=1.0 clip_0.5,10,1.3425471519909744,-0.03939728169347534
ICIR + weekly ewma_hl12 eta=1.0 clip_0.5,20,1.2985832410543778,-0.04972580351610212
ICIR + weekly ewma_hl12 eta=1.0 clip_0.7,0,1.3873295789863327,-0.04090968359604441
ICIR + weekly ewma_hl12 eta=1.0 clip_0.7,5,1.3646438965153331,-0.04158318095063618
ICIR + weekly ewma_hl12 eta=1.0 clip_0.7,10,1.3423235724943092,-0.04225632380414024
ICIR + weekly ewma_hl12 eta=1.0 clip_0.7,20,1.2987559132907338,-0.05597104740543557
ICIR + weekly ewma_hl12 eta=1.0 clip_0.8,0,1.420855927290598,-0.04083601992463659
ICIR + weekly ewma_hl12 eta=1.0 clip_0.8,5,1.3978461505699022,-0.041499530644389826
ICIR + weekly ewma_hl12 eta=1.0 clip_0.8,10,1.3752033784017763,-0.04216269782390869
ICIR + weekly ewma_hl12 eta=1.0 clip_0.8,20,1.330995879854867,-0.04348800203553571
ICIR + weekly ewma_hl12 eta=1.0 no_clip,0,1.430493259325803,-0.038006806411343574
ICIR + weekly ewma_hl12 eta=1.0 no_clip,5,1.4065272827060906,-0.0387022323163414
ICIR + weekly ewma_hl12 eta=1.0 no_clip,10,1.3829565643859922,-0.03939728169347534
ICIR + weekly ewma_hl12 eta=1.0 no_clip,20,1.3369753415013192,-0.04177876965395955
ICIR + weekly ewma_hl12 eta=1.5 clip_0.5,0,1.4002807498354943,-0.03899088154783892
ICIR + weekly ewma_hl12 eta=1.5 clip_0.5,5,1.3771711570246812,-0.03970732936067567
ICIR + weekly ewma_hl12 eta=1.5 clip_0.5,10,1.3544371528460268,-0.040423377163331664
ICIR + weekly ewma_hl12 eta=1.5 clip_0.5,20,1.3100719641682579,-0.0418542733327959
ICIR + weekly ewma_hl12 eta=1.5 clip_0.7,0,1.3774542151579328,-0.04090968359604441
ICIR + weekly ewma_hl12 eta=1.5 clip_0.7,5,1.354831225852255,-0.04158318095063618
ICIR + weekly ewma_hl12 eta=1.5 clip_0.7,10,1.3325742034443855,-0.04225632380414013
ICIR + weekly ewma_hl12 eta=1.5 clip_0.7,20,1.2891348307897237,-0.06430919900529053
ICIR + weekly ewma_hl12 eta=1.5 clip_0.8,0,1.4392634572426006,-0.04077854419588489
ICIR + weekly ewma_hl12 eta=1.5 clip_0.8,5,1.4159026102864167,-0.04142177858918972
ICIR + weekly ewma_hl12 eta=1.5 clip_0.8,10,1.3929152167357606,-0.042064690673925376
ICIR + weekly ewma_hl12 eta=1.5 clip_0.8,20,1.348037365171215,-0.04334954834666138
ICIR + weekly ewma_hl12 eta=1.5 no_clip,0,1.448278572738223,-0.037345110951650606
ICIR + weekly ewma_hl12 eta=1.5 no_clip,5,1.4239373976891994,-0.038061709582383085
ICIR + weekly ewma_hl12 eta=1.5 no_clip,10,1.399998936847164,-0.038777908667127714
ICIR + weekly ewma_hl12 eta=1.5 no_clip,20,1.3533040331576796,-0.04020910879192596
ICIR + weekly ewma_hl12 eta=2.0 clip_0.5,0,1.4122065738696201,-0.03899088154783903
ICIR + weekly ewma_hl12 eta=2.0 clip_0.5,5,1.3888577446521897,-0.03970732936067567
ICIR + weekly ewma_hl12 eta=2.0 clip_0.5,10,1.3658890856481156,-0.040423377163331775
ICIR + weekly ewma_hl12 eta=2.0 clip_0.5,20,1.3210679956766462,-0.0418542733327959
ICIR + weekly ewma_hl12 eta=2.0 clip_0.7,0,1.3761063909142381,-0.04099164461134297
ICIR + weekly ewma_hl12 eta=2.0 clip_0.7,5,1.353492401873082,-0.041665097677298424
ICIR + weekly ewma_hl12 eta=2.0 clip_0.7,10,1.33124445237767,-0.04233819625812085
ICIR + weekly ewma_hl12 eta=2.0 clip_0.7,20,1.28782342471352,-0.06526105491094514
ICIR + weekly ewma_hl12 eta=2.0 clip_0.8,0,1.449751015494598,-0.04202193100214324
ICIR + weekly ewma_hl12 eta=2.0 clip_0.8,5,1.4261477917371248,-0.04266446338961105
ICIR + weekly ewma_hl12 eta=2.0 clip_0.8,10,1.4029230667845272,-0.04330667328197679
ICIR + weekly ewma_hl12 eta=2.0 clip_0.8,20,1.3575852979091905,-0.044590126012103104
ICIR + weekly ewma_hl12 eta=2.0 no_clip,0,1.4924442533388256,-0.037345110951650495
