strategy_name,signal_name,eta,clip_scheme,clip_lower,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,average_turnover,start_date,end_date,notes
ICIR + weekly ewma_hl12 eta=2.0 clip_0.8,ewma_hl12,2.0,clip_0.8,0.8,0,0.06512069085235583,0.17387886446971282,0.4471074801218133,-0.3030282347373997,0.21489974658232283,0.5205479452054794,0.4681139230709697,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=2.0 no_clip,ewma_hl12,2.0,no_clip,0.0,0,0.07171227692330207,0.17839611024230365,0.474866943679567,-0.2926207338743392,0.24506902150719653,0.5342465753424658,0.49093723396021977,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=0.5 clip_0.5,ewma_hl4,0.5,clip_0.5,0.5,0,0.06285661344038429,0.17539949292732313,0.43258069046379505,-0.3150051961584278,0.19954151298752343,0.5342465753424658,0.4747349276371798,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=0.5 clip_0.7,ewma_hl4,0.5,clip_0.7,0.7,0,0.06704111115711697,0.17340560031530067,0.45833208036328693,-0.2960398675381727,0.22645973907035477,0.5342465753424658,0.4713257487810541,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=0.5 clip_0.8,ewma_hl4,0.5,clip_0.8,0.8,0,0.06374834461623502,0.17313028325763039,0.4408655317293989,-0.3017517360574423,0.2112609042424853,0.5205479452054794,0.4669762402290844,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=0.5 no_clip,ewma_hl4,0.5,no_clip,0.0,0,0.06261341738899007,0.17567451217350605,0.43087109432794996,-0.3151415292612796,0.19868348527647756,0.5342465753424658,0.47679359182725795,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=1.0 clip_0.5,ewma_hl4,1.0,clip_0.5,0.5,0,0.06818979991159635,0.17525101491262124,0.46147425880096793,-0.296643775697648,0.2298709951059223,0.547945205479452,0.47728117018806593,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=1.0 clip_0.7,ewma_hl4,1.0,clip_0.7,0.7,0,0.06766922745801995,0.1723032598951251,0.4636311848098034,-0.29243628030419533,0.23139819514743418,0.5342465753424658,0.46791270025539816,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=1.0 clip_0.8,ewma_hl4,1.0,clip_0.8,0.8,0,0.06471294545068407,0.17282944374875883,0.44658373257038164,-0.30183248020408004,0.214400204401227,0.5205479452054794,0.4667479297268013,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=1.0 no_clip,ewma_hl4,1.0,no_clip,0.0,0,0.07148803068749965,0.17713944046616953,0.47572516747383853,-0.2998141516809194,0.2384411485805433,0.5342465753424658,0.48366612491293237,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=1.5 clip_0.5,ewma_hl4,1.5,clip_0.5,0.5,0,0.07191370431030575,0.17546124101833405,0.48106944297448034,-0.2885298118377124,0.24924185078925087,0.547945205479452,0.4756868663416145,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl4 eta=1.5 clip_0.7,ewma_hl4,1.5,clip_0.7,0.7,0,0.06705259273266284,0.17155815183232465,0.4615623391329443,-0.2912395318975637,0.2302317693473252,0.5342465753424658,0.4667711477439827,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
