date,factor_name,raw_coverage,post_filter_coverage,post_neutralization_coverage,cross_section_std
2018-06-29,turnover_1m,0.9895470383275261,0.9895470383275261,0.9895470383275261,1.0
2018-06-29,turnover_3m,0.9895470383275261,0.9895470383275261,0.9895470383275261,1.0
2018-06-29,volatility_1m,1.0,1.0,1.0,1.0000000000000007
2018-06-29,volatility_3m,1.0,1.0,1.0,0.9999999999999993
2018-07-06,liquidity_1m,1.0,1.0,1.0,1.0000000000000004
2018-07-06,momentum_12m,0.9755244755244755,0.9755244755244755,0.9755244755244755,1.0000000000000004
2018-07-06,momentum_1m,1.0,1.0,1.0,0.9999999999999994
2018-07-06,momentum_3m,1.0,1.0,1.0,1.0000000000000002
2018-07-06,momentum_6m,0.9895104895104895,0.9895104895104895,0.9895104895104895,0.9999999999999993
2018-07-06,reversal_1m,1.0,1.0,1.0,0.9999999999999994
2018-07-06,turnover_1m,0.993006993006993,0.993006993006993,0.993006993006993,0.9999999999999996
2018-07-06,turnover_3m,0.9895104895104895,0.9895104895104895,0.9895104895104895,1.0000000000000004
2018-07-06,volatility_1m,1.0,1.0,1.0,0.9999999999999997
2018-07-06,volatility_3m,1.0,1.0,1.0,1.0
2018-07-13,liquidity_1m,1.0,1.0,1.0,1.0
2018-07-13,momentum_12m,0.975609756097561,0.975609756097561,0.975609756097561,0.9999999999999999
2018-07-13,momentum_1m,1.0,1.0,1.0,0.9999999999999993
2018-07-13,momentum_3m,1.0,1.0,1.0,1.0
2018-07-13,momentum_6m,0.9895470383275261,0.9895470383275261,0.9895470383275261,1.0
2018-07-13,reversal_1m,1.0,1.0,1.0,0.9999999999999993
2018-07-13,turnover_1m,0.9965156794425087,0.9965156794425087,0.9965156794425087,1.0
2018-07-13,turnover_3m,0.9895470383275261,0.9895470383275261,0.9895470383275261,1.0000000000000002
2018-07-13,volatility_1m,1.0,1.0,1.0,1.0000000000000002
2018-07-13,volatility_3m,1.0,1.0,1.0,0.9999999999999997
2018-07-20,liquidity_1m,1.0,1.0,1.0,0.9999999999999998
2018-07-20,momentum_12m,0.9757785467128027,0.9757785467128027,0.9757785467128027,0.9999999999999999
2018-07-20,momentum_1m,1.0,1.0,1.0,0.9999999999999997
2018-07-20,momentum_3m,1.0,1.0,1.0,1.0000000000000002
2018-07-20,momentum_6m,0.9965397923875432,0.9965397923875432,0.9965397923875432,1.0
2018-07-20,reversal_1m,1.0,1.0,1.0,0.9999999999999997
2018-07-20,turnover_1m,0.9896193771626297,0.9896193771626297,0.9896193771626297,0.9999999999999997
2018-07-20,turnover_3m,0.9896193771626297,0.9896193771626297,0.9896193771626297,0.9999999999999996
2018-07-20,volatility_1m,1.0,1.0,1.0,1.0000000000000002
2018-07-20,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2018-07-27,liquidity_1m,1.0,1.0,1.0,1.0000000000000004
2018-07-27,momentum_12m,0.9757785467128027,0.9757785467128027,0.9757785467128027,1.0000000000000002
2018-07-27,momentum_1m,1.0,1.0,1.0,0.9999999999999999
2018-07-27,momentum_3m,1.0,1.0,1.0,0.9999999999999997
2018-07-27,momentum_6m,0.9965397923875432,0.9965397923875432,0.9965397923875432,0.9999999999999999
2018-07-27,reversal_1m,1.0,1.0,1.0,0.9999999999999999
2018-07-27,turnover_1m,0.9896193771626297,0.9896193771626297,0.9896193771626297,0.9999999999999996
2018-07-27,turnover_3m,0.9930795847750865,0.9930795847750865,0.9930795847750865,1.0
2018-07-27,volatility_1m,1.0,1.0,1.0,0.9999999999999996
2018-07-27,volatility_3m,1.0,1.0,1.0,1.0000000000000004
2018-08-03,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-08-03,momentum_12m,0.9758620689655172,0.9758620689655172,0.9758620689655172,1.0
2018-08-03,momentum_1m,1.0,1.0,1.0,0.999999999999999
2018-08-03,momentum_3m,1.0,1.0,1.0,0.9999999999999999
2018-08-03,momentum_6m,1.0,1.0,1.0,1.0000000000000007
2018-08-03,reversal_1m,1.0,1.0,1.0,0.999999999999999
2018-08-03,turnover_1m,0.9896551724137931,0.9896551724137931,0.9896551724137931,1.0000000000000002
2018-08-03,turnover_3m,0.9896551724137931,0.9896551724137931,0.9896551724137931,1.0000000000000004
2018-08-03,volatility_1m,1.0,1.0,1.0,1.0
2018-08-03,volatility_3m,1.0,1.0,1.0,1.0
2018-08-10,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-08-10,momentum_12m,0.9757785467128027,0.9757785467128027,0.9757785467128027,0.9999999999999991
2018-08-10,momentum_1m,1.0,1.0,1.0,1.0000000000000004
